"FACILITY_UNIT_PROCESS_ID","CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","TREATMENT_TYPE","UNIT_PROCESS","EXISTING_FLAG","PLANNED_FLAG","UNIT_PROCESS_NOTES"
3327,"48005025002",1183585,"TX","Wastewater","Solids handling","Biosolids Drying","Y","",""
3383,"48005025002",1183585,"TX","Wastewater","Preliminary treatment","Screening","Y","",""
3328,"48005025002",1183585,"TX","Wastewater","Primary treatment","Primary Clarification or Sedimentation","Y","",""
3329,"48005025002",1183585,"TX","Wastewater","Nutrient Removal and additional treatment","Filtration","Y","","Trickling Filter - Single Stage"
3411,"48006046001",1183708,"TX","Wastewater","Secondary treatment","Suspended Growth, Aerobic","Y","","oxidation ditch"
3412,"48006046001",1183708,"TX","Wastewater","Solids handling","Biosolids Drying","Y","",""
3410,"48006046001",1183708,"TX","Wastewater","Disinfection","Disinfection, chlorine/ chloramine","Y","",""
3409,"48006046001",1183708,"TX","Wastewater","Preliminary treatment","Screening","Y","",""
3312,"48003116002",1183262,"TX","Wastewater","Disinfection","Disinfection, chlorine/ chloramine","Y","",""
3311,"48003116002",1183262,"TX","Wastewater","Primary treatment","Primary Clarification or Sedimentation","Y","","Final Clarifier"
3310,"48003116002",1183262,"TX","Wastewater","Solids handling","Biosolids Aerobic Digestion","Y","","oxidation ditch"
3313,"48003116002",1183262,"TX","Wastewater","Solids handling","Biosolids Drying","Y","","drying beds"
3325,"48006074001",1183728,"TX","Wastewater","Secondary treatment","Lagoon, Aerobic","Y","","Aquaculture/Wetlands/Marsh System"
3324,"48006074001",1183728,"TX","Wastewater","Secondary treatment","Lagoon, Aerobic","Y","","stabilization ponds"
3447,"48001012001",1182883,"TX","Wastewater","Disinfection","Disinfection, chlorine/ chloramine","Y","",""
3448,"48001012001",1182883,"TX","Wastewater","Solids handling","Biosolids Drying","Y","",""
3449,"48001012001",1182883,"TX","Wastewater","Preliminary treatment","Screening","Y","",""
3446,"48001012001",1182883,"TX","Wastewater","Secondary treatment","Suspended Growth, Aerobic","Y","","oxidation ditch"
3441,"48003073001",1183224,"TX","Wastewater","Primary treatment","Primary Clarification or Sedimentation","Y","","Imhoff tank"
3433,"48003073001",1183224,"TX","Wastewater","Preliminary treatment","Screening","Y","",""
3431,"48003073001",1183224,"TX","Wastewater","Solids handling","Biosolids Drying","Y","",""
3434,"48003073001",1183224,"TX","Wastewater","Secondary treatment","Suspended Growth, Aerobic","Y","","activated sludge"
3435,"48003073001",1183224,"TX","Wastewater","Secondary treatment","Lagoon, Aerobic","Y","","stabilization ponds"
3450,"48004065001",1183380,"TX","Wastewater","Preliminary treatment","Flow Equalization","Y","","flow equal basin"
3452,"48004065001",1183380,"TX","Wastewater","Secondary treatment","Suspended Growth, Aerobic","Y","","activated sludge"
3453,"48004065001",1183380,"TX","Wastewater","Nutrient Removal and additional treatment","Filtration","Y","","trickling filter - fixed spray"
3454,"48004065001",1183380,"TX","Wastewater","Disinfection","Disinfection, chlorine/ chloramine","Y","",""
3451,"48004065001",1183380,"TX","Wastewater","Primary treatment","Primary Clarification or Sedimentation","Y","",""
3455,"48004065001",1183380,"TX","Wastewater","Secondary treatment","Suspended Growth, Anaerobic","Y","","anaerobic digestion"
3456,"48004065001",1183380,"TX","Wastewater","Solids handling","Biosolids Drying","Y","",""
3389,"48003001001",1183166,"TX","Wastewater","Secondary treatment","Lagoon, Aerobic","Y","","Total Containment Ponds"
3333,"48003001001",1183166,"TX","Wastewater","Solids handling","Biosolids Anaerobic Digestion without Energy Recovery","Y","","anaerobic digestion"
3388,"48003001001",1183166,"TX","Wastewater","Solids handling","Biosolids Drying","Y","",""
3336,"48003001001",1183166,"TX","Wastewater","Secondary treatment","Lagoon, Aerobic","Y","","stabilization ponds"
3387,"48003001001",1183166,"TX","Wastewater","Preliminary treatment","Screening","Y","",""
3260,"48001111001",1182915,"TX","Wastewater","Primary treatment","Primary Clarification or Sedimentation","Y","","Imhoff tank"
3265,"48001111001",1182915,"TX","Wastewater","Solids handling","Biosolids Drying","Y","","drying beds"
3261,"48001111001",1182915,"TX","Wastewater","Nutrient Removal and additional treatment","Constructed Wetland","Y","","stabilization ponds"
3262,"48001111001",1182915,"TX","Wastewater","Secondary treatment","Lagoon, Aerobic","Y","","aerated lagoons"
3259,"48001111001",1182915,"TX","Wastewater","Preliminary treatment","Flow Equalization","Y","","Raw Wastewater Lift Station"
3264,"48001111001",1182915,"TX","Wastewater","Disinfection","Disinfection, chlorine/ chloramine","Y","","chlorination"
3440,"48005053001",1227878,"TX","Wastewater","Secondary treatment","Suspended Growth, Aerobic","Y","","activated sludge"
3400,"48005053001",1227878,"TX","Wastewater","Preliminary treatment","Flow Equalization","Y","",""
3402,"48005053001",1227878,"TX","Wastewater","Primary treatment","Primary Clarification or Sedimentation","Y","",""
3403,"48005053001",1227878,"TX","Wastewater","Disinfection","Disinfection, UV","Y","",""
3401,"48005053001",1227878,"TX","Wastewater","Preliminary treatment","Screening","Y","",""
3404,"48005053001",1227878,"TX","Wastewater","Secondary treatment","Lagoon, Aerobic","Y","","sludge lagoon"
3438,"48001114001",1227764,"TX","Wastewater","Primary treatment","Primary Clarification or Sedimentation","Y","",""
3436,"48001114001",1227764,"TX","Wastewater","Preliminary treatment","Flow Equalization","Y","","flow equalization basin"
3439,"48001114001",1227764,"TX","Wastewater","Nutrient Removal and additional treatment","Filtration","Y","","trickling filter - fixed spray"
3442,"48001114001",1227764,"TX","Wastewater","Secondary treatment","Suspended Growth, Aerobic","Y","","oxidation ditch"
3443,"48001114001",1227764,"TX","Wastewater","Disinfection","Disinfection, chlorine/ chloramine","Y","",""
3444,"48001114001",1227764,"TX","Wastewater","Secondary treatment","Suspended Growth, Anaerobic","Y","","anaerobic digestion"
3445,"48001114001",1227764,"TX","Wastewater","Solids handling","Biosolids Drying","Y","",""
3437,"48001114001",1227764,"TX","Wastewater","Preliminary treatment","Screening","Y","",""
3396,"48003290001",1227830,"TX","Wastewater","Secondary treatment","Suspended Growth, Aerobic","Y","","activated sludge"
3397,"48003290001",1227830,"TX","Wastewater","Disinfection","Disinfection, chlorine/ chloramine","Y","",""
3398,"48003290001",1227830,"TX","Wastewater","Secondary treatment","Suspended Growth, Aerobic","Y","","aerobic digestion"
3399,"48003290001",1227830,"TX","Wastewater","Solids handling","Biosolids Drying","Y","",""
3395,"48003290001",1227830,"TX","Wastewater","Preliminary treatment","Screening","Y","",""
3344,"48004207001",1227852,"TX","Wastewater","Preliminary treatment","Screening","Y","",""
3347,"48004207001",1227852,"TX","Wastewater","Secondary treatment","Suspended Growth, Aerobic","Y","",""
3346,"48004207001",1227852,"TX","Wastewater","Solids handling","Biosolids Drying","Y","",""
3348,"48004207001",1227852,"TX","Wastewater","Primary treatment","Primary Clarification or Sedimentation","Y","",""
3345,"48004207001",1227852,"TX","Wastewater","Disinfection","Disinfection, chlorine/ chloramine","Y","",""
3295,"48002138001",1227800,"TX","Wastewater","Disinfection","Advanced oxidation process (AOP)","Y","","Oxidation ditch"
3296,"48002138001",1227800,"TX","Wastewater","Disinfection","Disinfection, chlorine/ chloramine","Y","",""
3297,"48002138001",1227800,"TX","Wastewater","Solids handling","Biosolids Drying","Y","","drying beds"
3377,"48000000102",3608723,"TX","Wastewater","Preliminary treatment","Flow Equalization","Y","",""
3314,"48000000102",3608723,"TX","Wastewater","Secondary treatment","Suspended Growth, Aerobic","Y","","activated sludge"
3378,"48000000102",3608723,"TX","Wastewater","Disinfection","Disinfection, chlorine/ chloramine","Y","",""
3379,"48000000102",3608723,"TX","Wastewater","Solids handling","Biosolids Drying","Y","",""
3381,"48000000102",3608723,"TX","Wastewater","Secondary treatment","Suspended Growth, Aerobic","Y","","aerobic digestion"
3376,"48000000102",3608723,"TX","Wastewater","Preliminary treatment","Screening","Y","",""
3380,"48000000102",3608723,"TX","Wastewater","Disinfection","Disinfection, UV","Y","",""
